benchmark_set,algorithm,FM,AM,AR,FM_std,AM_std,AR_std
sipu_r15,hierarchy_average,0.9899594329720794,0.9916307777502792,0.9892599952466714,0.9899594329720794,0.9916307777502792,0.9892599952466714
sipu_s1,hierarchy_average,0.982824947904038,0.9833788264617241,0.9815990475472908,0.982885756863088,0.9832230929880764,0.9816640425602858
sipu_s2,hierarchy_average,0.9184257524306344,0.9302449181866668,0.912602074550962,0.9185308844594184,0.930018716324707,0.9127008792816202
sipu_s3,hierarchy_average,0.6363915291571115,0.7487348182719907,0.5957412207001833,0.644282739900403,0.7531652527073887,0.6040066454282256
sipu_s4,hierarchy_average,0.5461921261388968,0.6649234298678466,0.492565817388555,0.5524232693735304,0.6749405396572302,0.500161290744889
sipu_spiral,hierarchy_average,0.35727300502442216,-0.0030462852442182447,-0.002258128166183035,0.3584056898553589,0.023537116961078675,0.02026910018413852
sipu_unbalance,hierarchy_average,1.0,1.0,1.0,0.7747224618640947,0.8084667538895424,0.6118768338055295
wut_cross,hierarchy_average,0.4904592690307675,0.03541502933720159,0.0013387054372886633,0.4904592690307675,0.03541502933720159,0.0013387054372886633
wut_smile,hierarchy_average,0.6903131933032665,0.7759792683273489,0.5746312169368047,0.6224891533953777,0.6914088941387309,0.4709686702618023
wut_twosplashes,hierarchy_average,0.6895675022451926,0.040435868243507256,0.0022561904224715746,0.6668336889765222,0.1022865221680062,0.017605094041484533
wut_x1,hierarchy_average,1.0,1.0,1.0,1.0,1.0,1.0
wut_x2,hierarchy_average,0.5867638199693272,0.3969810397101805,0.2501658489314348,0.5425659882143382,0.3766654171787831,0.19059652305968905
wut_x3,hierarchy_average,0.6785018808173687,0.6630989840073572,0.5045472401370921,0.6785018808173687,0.6630989840073572,0.5045472401370921
wut_z1,hierarchy_average,0.5114650476927035,0.30803168973288103,0.21359384035107504,0.44438940081755424,0.1794841803173962,0.16254363652984027
